account_id,customer_id,account_type,balance,account_open_date
ACC_0087,CID_0049,Saving,126420.85,03-01-2018
ACC_0088,CID_0049,Current,657874.35,03-01-2018
ACC_0089,CID_0049,Demat,1070131.45,03-01-2018
ACC_0090,CID_0050,Saving,79131.17,09-12-2025
ACC_0091,CID_0051,Recurring Deposit,215863.45,01-04-2018
ACC_0092,CID_0052,Saving,53875.07,26-05-2018
ACC_0093,CID_0053,Fixed Deposit,2243023.95,28-01-2018
ACC_0094,CID_0054,Saving,71478.3,16-04-2021
ACC_0095,CID_0055,Saving,248356.3,12-01-2018
ACC_0096,CID_0055,Current,302539.81,12-01-2018
ACC_0097,CID_0055,Demat,604166.25,12-01-2018
ACC_0098,CID_0056,Saving,192995.01,12-03-2024
ACC_0099,CID_0057,Saving,231517.65,20-06-2018
ACC_0100,CID_0058,Saving,39448.72,02-03-2018
ACC_0101,CID_0059,Saving,145747.85,14-12-2024
ACC_0102,CID_0059,Current,233761.15,14-12-2024
ACC_0103,CID_0059,Demat,1623093.1,14-12-2024
ACC_0104,CID_0060,Saving,142481.7,15-12-2022
ACC_0105,CID_0061,Saving,81510.67,25-03-2021
ACC_0106,CID_0061,Current,483050.64,25-03-2021
ACC_0107,CID_0061,Demat,979111.41,25-03-2021
ACC_0108,CID_0062,Recurring Deposit,19648.43,09-05-2018
ACC_0109,CID_0063,Saving,195140.42,05-10-2018
ACC_0110,CID_0063,Current,921949.63,05-10-2018
ACC_0111,CID_0063,Demat,672107.34,05-10-2018
ACC_0112,CID_0064,Fixed Deposit,4350234.71,12-11-2025
ACC_0113,CID_0065,Saving,3352.88,20-01-2024
ACC_0114,CID_0066,Saving,10774.97,20-03-2018
ACC_0115,CID_0067,Saving,174593.28,10-05-2018
ACC_0116,CID_0068,Recurring Deposit,197048.47,13-05-2020
ACC_0117,CID_0069,Recurring Deposit,111820.73,26-11-2018
ACC_0118,CID_0070,Saving,33481.17,27-04-2018
ACC_0119,CID_0070,Current,83462.57,27-04-2018
ACC_0120,CID_0070,Demat,1145023.98,27-04-2018
ACC_0121,CID_0071,Saving,66008.22,07-06-2023
ACC_0122,CID_0072,Fixed Deposit,660572.12,30-09-2018
ACC_0123,CID_0073,Saving,49928.08,18-07-2018
ACC_0124,CID_0073,Current,395923.48,18-07-2018
ACC_0125,CID_0073,Demat,1144804.71,18-07-2018
ACC_0126,CID_0074,Recurring Deposit,121915.23,02-07-2021
ACC_0127,CID_0075,Saving,144216.55,03-04-2018
ACC_0128,CID_0076,Saving,106173.38,27-05-2020
ACC_0129,CID_0077,Saving,86458.96,12-03-2018
ACC_0130,CID_0077,Current,655754.45,12-03-2018
ACC_0131,CID_0077,Demat,1540514.18,12-03-2018
ACC_0132,CID_0078,Recurring Deposit,401595.22,28-10-2018
ACC_0133,CID_0079,Saving,204633.89,18-11-2018
ACC_0134,CID_0080,Saving,39419.81,21-05-2018
ACC_0135,CID_0080,Current,728758.27,21-05-2018
ACC_0136,CID_0080,Demat,176199.81,21-05-2018
ACC_0137,CID_0081,Saving,231719.06,28-06-2025
ACC_0138,CID_0082,Saving,173601.91,13-09-2018
ACC_0139,CID_0082,Current,112166.71,13-09-2018
ACC_0140,CID_0082,Demat,902872.83,13-09-2018
ACC_0141,CID_0083,Saving,185133.24,28-10-2023
ACC_0142,CID_0084,Saving,65035.17,04-04-2018
ACC_0143,CID_0085,Fixed Deposit,3478405.01,16-05-2021
ACC_0144,CID_0086,Saving,226557.05,24-12-2025
ACC_0145,CID_0087,Saving,42994.75,24-09-2018
ACC_0146,CID_0087,Current,284729.53,24-09-2018
ACC_0147,CID_0087,Demat,1579431.05,24-09-2018
ACC_0148,CID_0088,Recurring Deposit,472643.06,11-03-2018
ACC_0149,CID_0089,Saving,68191.94,19-02-2024
ACC_0150,CID_0090,Saving,73477.65,21-05-2024
ACC_0151,CID_0091,Fixed Deposit,2547616.26,09-03-2018
ACC_0152,CID_0092,Saving,216759.8,15-11-2018
ACC_0153,CID_0092,Current,532029.08,15-11-2018
ACC_0154,CID_0092,Demat,376902.69,15-11-2018
ACC_0155,CID_0093,Fixed Deposit,117227.41,30-07-2018
ACC_0156,CID_0094,Saving,98653.25,03-11-2018
ACC_0157,CID_0095,Saving,171235.68,11-10-2018
ACC_0158,CID_0095,Current,356022.76,11-10-2018
ACC_0159,CID_0095,Demat,608140.79,11-10-2018
ACC_0160,CID_0096,Saving,15971.42,19-03-2023
ACC_0161,CID_0096,Current,258421.69,19-03-2023
ACC_0162,CID_0096,Demat,777405.33,19-03-2023
ACC_0163,CID_0097,Saving,56782.88,15-07-2023
ACC_0164,CID_0098,Saving,182607.47,26-09-2019
ACC_0165,CID_0099,Fixed Deposit,3435751.33,27-09-2018
ACC_0166,CID_0100,Saving,242649.02,07-11-2018
ACC_0167,CID_0101,Recurring Deposit,104171.88,28-01-2018
ACC_0168,CID_0102,Saving,171170.13,21-02-2018
ACC_0169,CID_0102,Current,203107.92,21-02-2018
ACC_0170,CID_0102,Demat,280528.73,21-02-2018
ACC_0171,CID_0103,Fixed Deposit,4879126.78,25-08-2018
ACC_0172,CID_0104,Recurring Deposit,159430.61,10-10-2019
ACC_0173,CID_0105,Saving,30037.63,19-02-2021
ACC_0174,CID_0105,Current,318279.99,19-02-2021
ACC_0175,CID_0105,Demat,1759878.05,19-02-2021
ACC_0176,CID_0106,Saving,240318.45,15-12-2023
ACC_0177,CID_0107,Saving,233475.25,22-09-2021
ACC_0178,CID_0107,Current,894235.96,22-09-2021
ACC_0179,CID_0107,Demat,1866833.81,22-09-2021
ACC_0180,CID_0108,Saving,47389.43,23-06-2022
ACC_0181,CID_0108,Current,132414.33,23-06-2022
ACC_0182,CID_0108,Demat,57265.45,23-06-2022
ACC_0183,CID_0109,Recurring Deposit,306568.65,27-12-2018
ACC_0184,CID_0110,Recurring Deposit,180271.41,07-03-2018
ACC_0185,CID_0111,Fixed Deposit,2349129.86,08-04-2018
ACC_0186,CID_0112,Fixed Deposit,2462313.53,16-02-2018
ACC_0187,CID_0113,Saving,56955.13,03-05-2018
ACC_0188,CID_0113,Current,409180.57,03-05-2018
ACC_0189,CID_0113,Demat,1937786.09,03-05-2018
ACC_0190,CID_0114,Recurring Deposit,494133.47,29-12-2018
ACC_0191,CID_0115,Recurring Deposit,492828.19,21-12-2018
ACC_0192,CID_0116,Saving,81561.46,05-06-2020
ACC_0193,CID_0116,Current,458087.38,05-06-2020
ACC_0194,CID_0116,Demat,497333.76,05-06-2020
ACC_0195,CID_0117,Recurring Deposit,190806.71,21-08-2018
ACC_0196,CID_0118,Saving,234815.21,19-09-2018
ACC_0197,CID_0118,Current,572362.52,19-09-2018
ACC_0198,CID_0118,Demat,1074637.97,19-09-2018
ACC_0199,CID_0119,Saving,27774.42,26-08-2022
ACC_0200,CID_0120,Fixed Deposit,2598326.24,08-09-2024
ACC_0201,CID_0121,Saving,191407.39,05-07-2018
ACC_0202,CID_0122,Saving,110168.69,19-09-2021
ACC_0203,CID_0123,Saving,73957.72,08-05-2018
ACC_0204,CID_0124,Saving,225967.07,13-12-2024
ACC_0205,CID_0125,Saving,125414.12,18-02-2018
ACC_0206,CID_0126,Recurring Deposit,273657.15,13-01-2026
ACC_0207,CID_0127,Recurring Deposit,90260.41,03-04-2018
ACC_0208,CID_0128,Saving,113943.46,03-02-2025
ACC_0209,CID_0129,Saving,178011.7,07-07-2020
ACC_0210,CID_0130,Saving,112624.91,18-01-2018
ACC_0211,CID_0131,Recurring Deposit,363710.04,01-10-2018
ACC_0212,CID_0132,Saving,95461.45,02-08-2018
ACC_0213,CID_0133,Recurring Deposit,431473.57,07-09-2018
ACC_0214,CID_0134,Saving,192404.62,05-01-2018
ACC_0215,CID_0134,Current,52259.18,05-01-2018
ACC_0216,CID_0134,Demat,619584.1,05-01-2018
ACC_0217,CID_0135,Saving,224686.21,19-01-2019
ACC_0218,CID_0136,Saving,191466.25,19-12-2018
ACC_0219,CID_0136,Current,13195.56,19-12-2018
ACC_0220,CID_0136,Demat,997767.08,19-12-2018
ACC_0221,CID_0137,Saving,220734.38,10-02-2023
ACC_0222,CID_0138,Saving,165037.92,17-03-2018
ACC_0223,CID_0138,Current,454284.75,17-03-2018
ACC_0224,CID_0138,Demat,886541.35,17-03-2018
ACC_0225,CID_0139,Saving,61555.94,23-02-2018
ACC_0226,CID_0139,Current,547794.27,23-02-2018
ACC_0227,CID_0139,Demat,1241433.25,23-02-2018
ACC_0228,CID_0140,Saving,14238.45,05-02-2018
ACC_0229,CID_0141,Recurring Deposit,333831.27,05-04-2018
ACC_0230,CID_0142,Fixed Deposit,254666.5,05-06-2018
ACC_0231,CID_0143,Recurring Deposit,305933.79,14-08-2018
ACC_0232,CID_0144,Saving,140763.21,29-08-2022
ACC_0233,CID_0144,Current,966326.97,29-08-2022
ACC_0234,CID_0144,Demat,1499922.94,29-08-2022
ACC_0235,CID_0145,Recurring Deposit,162088.1,02-02-2018
ACC_0236,CID_0146,Saving,107117.3,05-01-2022
ACC_0237,CID_0146,Current,550920.61,05-01-2022
ACC_0238,CID_0146,Demat,589201.26,05-01-2022
ACC_0239,CID_0147,Saving,214922.28,31-07-2020
ACC_0240,CID_0147,Current,329879.32,31-07-2020
ACC_0241,CID_0147,Demat,830447.03,31-07-2020
ACC_0242,CID_0148,Saving,153207.41,09-09-2018
ACC_0243,CID_0148,Current,110192.93,09-09-2018
ACC_0244,CID_0148,Demat,1460808.4,09-09-2018
ACC_0245,CID_0149,Recurring Deposit,344638.48,20-12-2018
ACC_0246,CID_0150,Recurring Deposit,130570.36,28-08-2018
ACC_0247,CID_0151,Fixed Deposit,3075307,08-12-2018
ACC_0248,CID_0152,Recurring Deposit,246759.72,10-05-2021
ACC_0249,CID_0153,Saving,177292.47,22-03-2018
ACC_0250,CID_0153,Current,979278.4,22-03-2018
ACC_0251,CID_0153,Demat,8153.93,22-03-2018
ACC_0252,CID_0154,Saving,199284.77,06-05-2025
ACC_0253,CID_0155,Saving,103803.26,20-04-2018
ACC_0254,CID_0155,Current,334458.46,20-04-2018
ACC_0255,CID_0155,Demat,1123028.93,20-04-2018
ACC_0256,CID_0156,Recurring Deposit,345318.51,03-04-2018
ACC_0257,CID_0157,Saving,75420.86,27-11-2018
ACC_0258,CID_0157,Current,550443.61,27-11-2018
ACC_0259,CID_0157,Demat,1535230.04,27-11-2018
ACC_0260,CID_0158,Saving,85669.72,16-08-2018
ACC_0261,CID_0159,Fixed Deposit,978137.74,27-08-2018
ACC_0262,CID_0160,Recurring Deposit,398829.94,30-09-2018
ACC_0263,CID_0161,Saving,115424.18,20-10-2018
ACC_0264,CID_0162,Saving,196105.26,17-05-2018
ACC_0265,CID_0162,Current,414539.11,17-05-2018
ACC_0266,CID_0162,Demat,1486456.37,17-05-2018
ACC_0267,CID_0163,Recurring Deposit,158435.92,03-09-2018
ACC_0268,CID_0164,Recurring Deposit,166527.93,03-09-2018
ACC_0269,CID_0165,Saving,70474.78,08-05-2018
ACC_0270,CID_0165,Current,32141.99,08-05-2018
ACC_0271,CID_0165,Demat,1967319.44,08-05-2018
ACC_0272,CID_0166,Saving,151619.43,23-11-2023
ACC_0273,CID_0167,Recurring Deposit,376018.56,16-08-2018
ACC_0274,CID_0168,Saving,22156.05,17-09-2018
ACC_0275,CID_0169,Recurring Deposit,152011.72,20-02-2018
ACC_0276,CID_0170,Saving,196343.52,04-12-2018
ACC_0277,CID_0171,Saving,199856.81,15-12-2018
ACC_0278,CID_0172,Saving,121126.25,08-04-2018
ACC_0279,CID_0173,Saving,192485.61,25-05-2022
ACC_0280,CID_0174,Saving,248183.73,06-03-2020
ACC_0281,CID_0174,Current,205981.92,06-03-2020
ACC_0282,CID_0174,Demat,77922.31,06-03-2020
ACC_0283,CID_0175,Saving,233118.17,07-08-2018
ACC_0284,CID_0176,Recurring Deposit,24023.75,23-06-2018
ACC_0285,CID_0177,Saving,144601.18,21-09-2021
ACC_0286,CID_0178,Saving,50538.6,04-01-2025
ACC_0287,CID_0179,Saving,110558.35,09-12-2018
ACC_0288,CID_0180,Saving,39795.26,08-05-2018
ACC_0289,CID_0180,Current,115345.93,08-05-2018
ACC_0290,CID_0180,Demat,1916804.62,08-05-2018
ACC_0291,CID_0181,Saving,87904.38,19-04-2018
ACC_0292,CID_0182,Recurring Deposit,402197.42,05-03-2018
ACC_0293,CID_0183,Saving,153509.09,04-11-2018
ACC_0294,CID_0184,Saving,13156.18,14-12-2018
ACC_0295,CID_0184,Current,29963.69,14-12-2018
ACC_0296,CID_0184,Demat,1807068.35,14-12-2018
ACC_0297,CID_0185,Saving,13923.07,21-08-2022
ACC_0298,CID_0186,Recurring Deposit,445746.67,06-01-2018
ACC_0299,CID_0187,Saving,89228.27,08-09-2020
ACC_0300,CID_0188,Recurring Deposit,404840.61,28-12-2020
ACC_0301,CID_0189,Saving,23682.59,17-10-2018
ACC_0302,CID_0190,Saving,161282.44,22-03-2018
ACC_0303,CID_0191,Fixed Deposit,727171.2,14-03-2018
ACC_0304,CID_0192,Saving,46246.59,23-06-2025
ACC_0305,CID_0193,Saving,16808.62,03-03-2018
ACC_0306,CID_0194,Saving,115579.8,31-05-2021
ACC_0307,CID_0195,Saving,87479.55,23-03-2022
ACC_0308,CID_0195,Current,575103.58,23-03-2022
ACC_0309,CID_0195,Demat,1018359.58,23-03-2022
ACC_0310,CID_0196,Saving,139259.39,23-04-2018
ACC_0311,CID_0196,Current,71853.07,23-04-2018
ACC_0312,CID_0196,Demat,607725.66,23-04-2018
ACC_0313,CID_0197,Saving,155408.27,31-03-2018
ACC_0314,CID_0198,Saving,85508.18,27-10-2018
ACC_0315,CID_0199,Fixed Deposit,2840383.86,05-08-2022
ACC_0316,CID_0200,Saving,165821.76,27-07-2020
ACC_0317,CID_0201,Saving,209268.67,16-08-2022
ACC_0318,CID_0202,Saving,115995.65,21-05-2024
ACC_0319,CID_0203,Saving,111581.45,10-06-2023
ACC_0320,CID_0203,Current,308727.69,10-06-2023
ACC_0321,CID_0203,Demat,814558.43,10-06-2023
ACC_0322,CID_0204,Fixed Deposit,3859003.46,17-05-2020
ACC_0323,CID_0205,Saving,15839.81,02-02-2018
ACC_0324,CID_0206,Saving,188869.63,25-11-2024
ACC_0325,CID_0207,Saving,113517.12,23-10-2024
ACC_0326,CID_0208,Saving,144693.89,22-10-2018
ACC_0327,CID_0208,Current,196470.95,22-10-2018
ACC_0328,CID_0208,Demat,1364625.99,22-10-2018
ACC_0329,CID_0209,Saving,198689.49,16-10-2018
ACC_0330,CID_0209,Current,679879.37,16-10-2018
ACC_0331,CID_0209,Demat,1837410.74,16-10-2018
ACC_0332,CID_0210,Recurring Deposit,306133.89,02-01-2018
ACC_0333,CID_0211,Saving,73899.07,05-01-2024
ACC_0334,CID_0212,Saving,140227.55,12-03-2018
ACC_0335,CID_0213,Saving,8280.59,26-04-2024
ACC_0336,CID_0214,Saving,98869.95,28-03-2018
ACC_0337,CID_0214,Current,318809.18,28-03-2018
ACC_0338,CID_0214,Demat,768665.28,28-03-2018
ACC_0339,CID_0215,Saving,43765.82,24-03-2018
ACC_0340,CID_0216,Saving,231158.27,29-11-2019
ACC_0341,CID_0217,Fixed Deposit,3353629.75,22-06-2018
ACC_0342,CID_0218,Saving,36426.97,23-10-2018
ACC_0343,CID_0219,Fixed Deposit,687520.97,18-10-2018
ACC_0344,CID_0220,Saving,114279.15,01-03-2026
ACC_0345,CID_0221,Saving,45359.45,24-12-2018
ACC_0346,CID_0221,Current,509905.5,24-12-2018
ACC_0347,CID_0221,Demat,1106339.81,24-12-2018
ACC_0348,CID_0222,Saving,56822.36,20-12-2018
ACC_0349,CID_0222,Current,425347.09,20-12-2018
ACC_0350,CID_0222,Demat,19822.83,20-12-2018
ACC_0351,CID_0223,Recurring Deposit,206008.07,21-12-2020
ACC_0352,CID_0224,Saving,9947.33,26-03-2018
ACC_0353,CID_0225,Saving,28734.51,08-04-2018
ACC_0354,CID_0225,Current,482051.38,08-04-2018
ACC_0355,CID_0225,Demat,1382542.04,08-04-2018
ACC_0356,CID_0226,Recurring Deposit,233003.23,04-10-2023
ACC_0357,CID_0227,Saving,61685.21,25-11-2018
ACC_0358,CID_0228,Saving,158605.07,01-01-2020
ACC_0359,CID_0229,Saving,86214.77,02-10-2018
ACC_0360,CID_0230,Saving,128409.45,12-02-2025
ACC_0361,CID_0231,Saving,88552.18,17-06-2021
ACC_0362,CID_0232,Saving,230754.7,04-10-2018
ACC_0363,CID_0233,Saving,118553.55,04-11-2018
ACC_0364,CID_0234,Saving,73292.43,27-02-2018
ACC_0365,CID_0235,Recurring Deposit,64283.85,08-06-2018
ACC_0366,CID_0236,Saving,33568.42,27-08-2018
ACC_0367,CID_0236,Current,281690.96,27-08-2018
ACC_0368,CID_0236,Demat,1716427.48,27-08-2018
ACC_0369,CID_0237,Saving,44066.15,18-07-2018
ACC_0370,CID_0237,Current,592178.36,18-07-2018
ACC_0371,CID_0237,Demat,306515.55,18-07-2018
ACC_0372,CID_0238,Saving,195740.66,13-02-2023
ACC_0373,CID_0239,Recurring Deposit,431145.2,21-01-2018
ACC_0374,CID_0240,Saving,205520.08,03-04-2018
ACC_0375,CID_0241,Saving,165336.49,12-04-2022
ACC_0376,CID_0242,Recurring Deposit,421074.68,24-09-2018
ACC_0377,CID_0243,Saving,188993.24,18-01-2022
ACC_0378,CID_0244,Saving,116271.72,06-01-2018
ACC_0379,CID_0245,Recurring Deposit,376461.5,07-09-2018
ACC_0380,CID_0246,Saving,171035.73,09-07-2018
ACC_0381,CID_0246,Current,390680.42,09-07-2018
ACC_0382,CID_0246,Demat,528937.18,09-07-2018
ACC_0383,CID_0247,Saving,199428.61,08-04-2018
ACC_0384,CID_0248,Recurring Deposit,341755.28,31-01-2018
ACC_0385,CID_0249,Saving,159537.33,13-04-2025
ACC_0386,CID_0250,Recurring Deposit,137022.71,04-08-2025
ACC_0387,CID_0251,Saving,163758.65,30-12-2022
ACC_0388,CID_0252,Recurring Deposit,121656.69,05-05-2022
ACC_0389,CID_0253,Saving,49133.96,13-04-2022
ACC_0390,CID_0253,Current,338069.2,13-04-2022
ACC_0391,CID_0253,Demat,1382105.27,13-04-2022
ACC_0392,CID_0254,Saving,2614.8,14-04-2018
ACC_0393,CID_0255,Saving,24875.84,25-10-2020
ACC_0394,CID_0256,Saving,88203.35,02-01-2018
ACC_0395,CID_0256,Current,725525.41,02-01-2018
ACC_0396,CID_0256,Demat,507532.73,02-01-2018
ACC_0397,CID_0257,Saving,14692.04,02-04-2021
ACC_0398,CID_0258,Fixed Deposit,4752939.91,19-01-2025
ACC_0399,CID_0259,Fixed Deposit,441068.01,18-11-2020
ACC_0400,CID_0260,Recurring Deposit,450048.71,07-06-2018
ACC_0401,CID_0261,Saving,46473.62,05-02-2025
ACC_0402,CID_0262,Saving,234077.42,25-10-2019
ACC_0403,CID_0262,Current,639141.73,25-10-2019
ACC_0404,CID_0262,Demat,1845777.3,25-10-2019
ACC_0405,CID_0263,Saving,225896.18,11-07-2020
ACC_0406,CID_0263,Current,770110.63,11-07-2020
ACC_0407,CID_0263,Demat,650191.23,11-07-2020
ACC_0408,CID_0264,Recurring Deposit,192016.7,22-03-2018
ACC_0409,CID_0265,Saving,238923.62,17-10-2018
ACC_0410,CID_0265,Current,265400.19,17-10-2018
ACC_0411,CID_0265,Demat,883946.79,17-10-2018
ACC_0412,CID_0266,Saving,161548.05,09-09-2018
ACC_0413,CID_0267,Saving,192292.48,07-07-2023
ACC_0414,CID_0268,Saving,110674.64,07-06-2019
ACC_0415,CID_0269,Saving,143050.47,13-10-2018
ACC_0416,CID_0270,Recurring Deposit,75278.28,03-06-2018
ACC_0417,CID_0271,Saving,97925.71,04-12-2025
ACC_0418,CID_0272,Recurring Deposit,287745.49,25-07-2018
ACC_0419,CID_0273,Fixed Deposit,2395915.74,30-01-2026
ACC_0420,CID_0274,Saving,96413.76,11-02-2018
ACC_0421,CID_0275,Recurring Deposit,495809.09,21-09-2018
ACC_0422,CID_0276,Saving,158252,17-10-2018
ACC_0423,CID_0277,Saving,133889.26,12-03-2018
ACC_0424,CID_0277,Current,960964.6,12-03-2018
ACC_0425,CID_0277,Demat,165511.29,12-03-2018
ACC_0426,CID_0278,Saving,138841.63,13-07-2019
ACC_0427,CID_0279,Saving,97831.13,14-04-2018
ACC_0428,CID_0280,Saving,121882.63,17-02-2020
ACC_0429,CID_0281,Saving,9406.72,29-06-2021
ACC_0430,CID_0282,Saving,122563.52,08-05-2018
ACC_0431,CID_0282,Current,63929.64,08-05-2018
ACC_0432,CID_0282,Demat,1083401.33,08-05-2018
ACC_0433,CID_0283,Recurring Deposit,406077.27,23-12-2018
ACC_0434,CID_0284,Saving,14485.59,20-02-2024
ACC_0435,CID_0285,Saving,53313.7,30-01-2021
ACC_0436,CID_0286,Recurring Deposit,339360.83,25-09-2018
ACC_0437,CID_0287,Recurring Deposit,462483.09,15-08-2021
ACC_0438,CID_0288,Saving,163630.97,13-11-2025
ACC_0439,CID_0289,Saving,162372.21,11-01-2018
ACC_0440,CID_0290,Saving,12964.52,11-03-2019
ACC_0441,CID_0290,Current,308030,11-03-2019
ACC_0442,CID_0290,Demat,1588425.72,11-03-2019
ACC_0443,CID_0291,Fixed Deposit,329148.5,30-10-2018
ACC_0444,CID_0292,Saving,148946.86,01-07-2022
ACC_0445,CID_0293,Saving,201211.16,01-06-2018
ACC_0446,CID_0293,Current,426785.25,01-06-2018
ACC_0447,CID_0293,Demat,1623984.45,01-06-2018
ACC_0448,CID_0294,Saving,30640.21,10-04-2018
ACC_0449,CID_0294,Current,684404.3,10-04-2018
ACC_0450,CID_0294,Demat,1094040.17,10-04-2018
ACC_0451,CID_0295,Saving,43775.19,21-02-2022
ACC_0452,CID_0296,Saving,35738.58,05-06-2019
ACC_0453,CID_0297,Saving,92796.87,14-08-2020
ACC_0454,CID_0297,Current,165841.12,14-08-2020
ACC_0455,CID_0297,Demat,491071,14-08-2020
ACC_0456,CID_0298,Saving,211917.99,29-12-2018
ACC_0457,CID_0299,Saving,219966.92,11-06-2022
ACC_0458,CID_0300,Saving,45263.51,11-05-2018
ACC_0459,CID_0301,Saving,148635.77,15-08-2019
ACC_0460,CID_0301,Current,284447.81,15-08-2019
ACC_0461,CID_0301,Demat,1388539.54,15-08-2019
ACC_0462,CID_0302,Saving,160136.51,06-11-2018
ACC_0463,CID_0303,Saving,44049.96,30-03-2018
ACC_0464,CID_0304,Saving,179441.09,12-01-2022
ACC_0465,CID_0305,Fixed Deposit,1512986.84,25-01-2019
ACC_0466,CID_0306,Saving,29818.2,05-07-2018
ACC_0467,CID_0307,Saving,90794.38,19-11-2018
