transaction_id,account_id,transaction_type,amount,transaction_date,payment_method
TRN_00034,ACC_3823,Withdrawals,19897.43,11-06-2023,IMPS
TRN_00035,ACC_7695,Deposits,69696.68,11-06-2022,Net Banking
TRN_00036,ACC_1838,Deposits,66970.05,12-04-2023,UPI
TRN_00037,ACC_6760,Transfers,77767.85,01-11-2025,Debit Card
TRN_00038,ACC_644,Interest Payment,45857.97,28-11-2024,Cash
TRN_00039,ACC_2327,Deposits,139033.76,04-12-2022,Cash
TRN_00040,ACC_2043,Withdrawals,186619.12,03-07-2023,Debit Card
TRN_00041,ACC_689,Deposits,94307.04,30-03-2024,Credit Card
TRN_00042,ACC_2761,Deposits,32855.13,19-03-2024,UPI
TRN_00043,ACC_2334,Interest Payment,159434.18,19-05-2024,Cash
TRN_00044,ACC_4941,Transfers,27185.83,31-08-2023,UPI
TRN_00045,ACC_4989,Deposits,11723.31,28-05-2024,Credit Card
TRN_00046,ACC_4371,Interest Payment,96237.58,05-05-2025,Debit Card
TRN_00047,ACC_746,Transfers,91805.94,05-05-2024,Credit Card
TRN_00048,ACC_773,Deposits,44358.02,04-10-2023,Credit Card
TRN_00049,ACC_5764,Interest Payment,166480.82,27-03-2023,IMPS
TRN_00050,ACC_2759,Interest Payment,31674.78,30-06-2025,Net Banking
TRN_00051,ACC_5727,Interest Payment,6071.35,06-02-2024,UPI
TRN_00052,ACC_2353,Withdrawals,135767.81,20-07-2024,Debit Card
TRN_00053,ACC_6265,Deposits,39599.91,21-04-2025,UPI
TRN_00054,ACC_1947,Transfers,57825.75,02-12-2023,Credit Card
TRN_00055,ACC_1300,Transfers,100014.71,17-04-2025,Cash
TRN_00056,ACC_6931,Interest Payment,111820.34,10-10-2024,Net Banking
TRN_00057,ACC_018,Deposits,24557.39,12-11-2023,Net Banking
TRN_00058,ACC_5490,Withdrawals,161195.28,31-10-2022,Debit Card
TRN_00059,ACC_7558,Transfers,153832.3,04-02-2025,Credit Card
TRN_00060,ACC_5760,Interest Payment,58314.54,26-11-2022,IMPS
TRN_00061,ACC_5885,Transfers,7366.86,07-03-2025,IMPS
TRN_00062,ACC_300,Withdrawals,36084.36,09-09-2024,Debit Card
TRN_00063,ACC_3566,Withdrawals,135325.6,21-06-2023,IMPS
TRN_00064,ACC_1747,Deposits,138184.33,14-06-2024,IMPS
TRN_00065,ACC_2196,Interest Payment,75009.91,27-09-2022,UPI
TRN_00066,ACC_7750,Withdrawals,126040.48,07-05-2025,IMPS
TRN_00067,ACC_7748,Transfers,65872.78,24-11-2022,IMPS
TRN_00068,ACC_371,Transfers,110694.67,24-02-2025,Net Banking
TRN_00069,ACC_7447,Deposits,114562.59,25-01-2022,Cash
TRN_00070,ACC_2257,Interest Payment,123471.5,30-07-2025,Credit Card
TRN_00071,ACC_3256,Withdrawals,105594.66,11-05-2022,Credit Card
TRN_00072,ACC_7374,Interest Payment,67402.74,22-02-2023,Cash
TRN_00073,ACC_4030,Transfers,141383.86,26-07-2024,IMPS
TRN_00074,ACC_3315,Withdrawals,56571.44,10-06-2023,Net Banking
TRN_00075,ACC_2359,Deposits,1826.96,24-01-2025,UPI
TRN_00076,ACC_2882,Transfers,129732.38,20-07-2025,Cash
TRN_00077,ACC_3264,Withdrawals,164131.7,18-06-2024,Cash
TRN_00078,ACC_5617,Transfers,181016.12,20-01-2024,UPI
TRN_00079,ACC_4617,Deposits,6469.38,18-11-2025,Cash
TRN_00080,ACC_5596,Withdrawals,20138.38,24-12-2024,Cash
TRN_00081,ACC_1924,Deposits,151617.86,16-02-2023,IMPS
TRN_00082,ACC_2554,Deposits,144855.85,31-10-2022,Cash
TRN_00083,ACC_5569,Deposits,34409.16,25-11-2025,Cash
TRN_00084,ACC_2557,Deposits,160576.72,10-11-2023,IMPS
TRN_00085,ACC_3245,Deposits,175481.94,04-03-2022,Net Banking
TRN_00086,ACC_6532,Deposits,121113.96,27-08-2025,Cash
TRN_00087,ACC_2324,Withdrawals,103382.15,19-12-2025,Net Banking
TRN_00088,ACC_7215,Transfers,22535.16,31-12-2023,Cash
TRN_00089,ACC_4312,Deposits,20387.14,12-09-2024,UPI
TRN_00090,ACC_1782,Deposits,114106.49,15-02-2022,Cash
TRN_00091,ACC_762,Withdrawals,190552.84,06-05-2022,Credit Card
TRN_00092,ACC_2757,Deposits,25768.84,08-11-2024,Net Banking
TRN_00093,ACC_3535,Deposits,64234.82,02-05-2023,UPI
TRN_00094,ACC_7920,Withdrawals,170350.84,05-07-2024,Debit Card
TRN_00095,ACC_6607,Transfers,109917.85,22-08-2023,Debit Card
TRN_00096,ACC_6892,Deposits,14009.96,21-12-2025,Debit Card
TRN_00097,ACC_1568,Transfers,199544.1,17-09-2025,Net Banking
TRN_00098,ACC_5160,Deposits,197432.35,14-11-2023,Credit Card
TRN_00099,ACC_6623,Deposits,37564.15,09-10-2024,Credit Card
TRN_00100,ACC_2313,Withdrawals,116669.62,03-03-2025,Debit Card
TRN_00101,ACC_6468,Withdrawals,138224.14,11-12-2024,Debit Card
TRN_00102,ACC_1660,Transfers,127301.36,23-11-2024,Debit Card
TRN_00103,ACC_3897,Transfers,125447.61,20-05-2023,Net Banking
TRN_00104,ACC_2473,Interest Payment,20588.65,25-05-2022,IMPS
TRN_00105,ACC_4882,Deposits,111344.76,08-09-2023,Net Banking
TRN_00106,ACC_6568,Transfers,131554.06,21-01-2023,Net Banking
TRN_00107,ACC_7061,Deposits,139014.4,04-07-2023,Debit Card
TRN_00108,ACC_4086,Transfers,45386.56,31-10-2024,Credit Card
TRN_00109,ACC_1072,Transfers,179736.1,13-12-2023,Credit Card
TRN_00110,ACC_2893,Withdrawals,154925.69,26-11-2025,UPI
TRN_00111,ACC_5698,Deposits,6461.24,29-09-2024,Credit Card
TRN_00112,ACC_7852,Deposits,87201.11,23-12-2025,Credit Card
TRN_00113,ACC_1394,Withdrawals,161870.94,26-08-2024,Net Banking
TRN_00114,ACC_6534,Transfers,169855.98,20-07-2025,Cash
TRN_00115,ACC_4976,Withdrawals,64432.61,08-09-2025,UPI
TRN_00116,ACC_5274,Deposits,58550.67,24-02-2024,Net Banking
TRN_00117,ACC_105,Deposits,125478.97,17-09-2025,Credit Card
TRN_00118,ACC_6176,Withdrawals,77501.65,18-07-2024,Cash
TRN_00119,ACC_6696,Transfers,71432.9,05-07-2022,IMPS
TRN_00120,ACC_6130,Deposits,32224.01,13-10-2023,UPI
TRN_00121,ACC_6807,Deposits,55266.57,27-01-2023,Net Banking
TRN_00122,ACC_2687,Interest Payment,10916.75,05-05-2025,IMPS
TRN_00123,ACC_1857,Interest Payment,50289.92,01-11-2023,UPI
TRN_00124,ACC_2170,Transfers,37603.42,10-10-2025,UPI
TRN_00125,ACC_2189,Deposits,67679.87,08-11-2023,Debit Card
TRN_00126,ACC_1983,Withdrawals,160418.84,03-07-2022,Credit Card
TRN_00127,ACC_7480,Transfers,138261.1,22-04-2024,UPI
TRN_00128,ACC_2949,Interest Payment,126538.53,23-10-2022,Net Banking
TRN_00129,ACC_5721,Interest Payment,69254.45,12-08-2024,Net Banking
TRN_00130,ACC_5453,Deposits,138032.62,20-04-2024,UPI
TRN_00131,ACC_7642,Deposits,81298.03,29-10-2025,Debit Card
TRN_00132,ACC_1014,Interest Payment,161754.22,10-12-2024,UPI
TRN_00133,ACC_5781,Withdrawals,178955.89,18-11-2024,Net Banking
TRN_00134,ACC_3621,Interest Payment,114833.29,09-07-2022,UPI
TRN_00135,ACC_1473,Withdrawals,127369.13,18-02-2022,Net Banking
TRN_00136,ACC_179,Transfers,141037.03,21-02-2022,IMPS
TRN_00137,ACC_1781,Deposits,27086.97,29-06-2023,IMPS
TRN_00138,ACC_2865,Interest Payment,152685.62,08-07-2024,Credit Card
TRN_00139,ACC_4658,Deposits,55911.8,14-07-2022,Cash
TRN_00140,ACC_5765,Withdrawals,92980.94,21-01-2024,UPI
TRN_00141,ACC_4759,Deposits,136597.84,21-01-2023,Cash
TRN_00142,ACC_2372,Interest Payment,5506.96,13-03-2023,Debit Card
TRN_00143,ACC_5557,Deposits,49294.17,18-03-2024,IMPS
TRN_00144,ACC_3127,Deposits,99486.83,14-02-2024,UPI
TRN_00145,ACC_1200,Transfers,58505.04,18-12-2025,Cash
TRN_00146,ACC_1362,Interest Payment,65678.33,06-04-2022,Cash
TRN_00147,ACC_5275,Deposits,85768.57,20-04-2024,Credit Card
TRN_00148,ACC_3596,Withdrawals,198256.6,10-05-2023,Debit Card
TRN_00149,ACC_2530,Transfers,73365.44,03-05-2022,Debit Card
TRN_00150,ACC_2303,Withdrawals,133268.45,28-06-2024,Cash
TRN_00151,ACC_3561,Transfers,95519.33,23-03-2025,UPI
TRN_00152,ACC_5414,Interest Payment,5804.26,02-04-2023,UPI
TRN_00153,ACC_3813,Interest Payment,187841.88,21-11-2025,UPI
TRN_00154,ACC_5867,Interest Payment,95372.41,06-08-2022,Credit Card
TRN_00155,ACC_4876,Transfers,110810.07,01-08-2022,Cash
TRN_00156,ACC_219,Deposits,118175.42,11-06-2025,IMPS
TRN_00157,ACC_6413,Interest Payment,49654.72,06-10-2024,Credit Card
TRN_00158,ACC_524,Transfers,40937.32,22-11-2025,Net Banking
TRN_00159,ACC_7431,Transfers,166222.51,12-10-2025,Net Banking
TRN_00160,ACC_7053,Deposits,161295.65,26-10-2023,Cash
TRN_00161,ACC_3897,Interest Payment,158077.25,27-12-2025,Net Banking
TRN_00162,ACC_2642,Withdrawals,3773.63,01-04-2023,Debit Card
TRN_00163,ACC_4872,Transfers,2242.94,04-08-2023,IMPS
TRN_00164,ACC_4310,Interest Payment,32423.15,05-08-2022,Cash
TRN_00165,ACC_6932,Transfers,69708.4,06-04-2022,Cash
TRN_00166,ACC_1642,Deposits,42400.53,28-11-2023,Net Banking
TRN_00167,ACC_2249,Withdrawals,30126.27,26-01-2022,Net Banking
TRN_00168,ACC_802,Transfers,35308.49,29-11-2022,IMPS
TRN_00169,ACC_2105,Deposits,39683.82,10-10-2022,Cash
TRN_00170,ACC_527,Transfers,131505.21,19-07-2023,Cash
TRN_00171,ACC_7168,Transfers,91648.99,10-08-2024,Debit Card
TRN_00172,ACC_7735,Transfers,108725.73,21-08-2024,IMPS
TRN_00173,ACC_6774,Deposits,138260.97,21-03-2024,IMPS
TRN_00174,ACC_5972,Deposits,27261.68,21-12-2024,UPI
TRN_00175,ACC_7074,Deposits,119803.02,26-01-2022,IMPS
TRN_00176,ACC_4931,Transfers,191847.1,08-04-2022,Debit Card
TRN_00177,ACC_285,Withdrawals,174857.61,03-08-2025,Net Banking
TRN_00178,ACC_3114,Deposits,155955.54,27-05-2023,Credit Card
TRN_00179,ACC_6858,Transfers,128242.54,14-04-2022,Debit Card
TRN_00180,ACC_5716,Transfers,146683.4,15-03-2022,Debit Card
TRN_00181,ACC_1495,Interest Payment,179652.12,01-01-2023,Credit Card
TRN_00182,ACC_5380,Deposits,55032.43,05-09-2023,IMPS
TRN_00183,ACC_3441,Withdrawals,94814.79,15-12-2025,Debit Card
TRN_00184,ACC_4647,Transfers,51758.2,20-09-2024,Net Banking
TRN_00185,ACC_5000,Transfers,40935.02,01-12-2022,UPI
TRN_00186,ACC_1287,Deposits,6146.41,23-12-2024,Debit Card
TRN_00187,ACC_1898,Transfers,9984.8,09-09-2023,Net Banking
TRN_00188,ACC_3501,Deposits,157786.92,29-08-2024,UPI
TRN_00189,ACC_008,Interest Payment,164424.29,22-12-2025,Net Banking
TRN_00190,ACC_5051,Transfers,56946.1,23-09-2023,UPI
TRN_00191,ACC_5910,Interest Payment,32557.32,17-11-2025,Credit Card
TRN_00192,ACC_7480,Deposits,187860.19,08-10-2024,UPI
TRN_00193,ACC_2334,Transfers,82917.74,27-04-2025,Net Banking
TRN_00194,ACC_5343,Interest Payment,154778.28,25-12-2025,UPI
TRN_00195,ACC_2100,Transfers,135103.93,30-03-2024,IMPS
TRN_00196,ACC_4243,Deposits,17391.59,24-07-2022,IMPS
TRN_00197,ACC_6367,Withdrawals,870.32,09-01-2025,Credit Card
TRN_00198,ACC_3489,Transfers,18827.13,19-02-2022,Credit Card
TRN_00199,ACC_4753,Deposits,126819.8,01-08-2025,Cash
TRN_00200,ACC_1022,Withdrawals,3604.66,19-10-2025,UPI
TRN_00201,ACC_332,Deposits,144286.36,01-12-2025,Net Banking
TRN_00202,ACC_3728,Withdrawals,95650.82,23-09-2025,Net Banking
TRN_00203,ACC_4418,Transfers,192640.37,28-05-2023,Debit Card
TRN_00204,ACC_7382,Interest Payment,141649.43,07-03-2025,Net Banking
TRN_00205,ACC_742,Deposits,195394.75,14-11-2025,Net Banking
TRN_00206,ACC_380,Deposits,107307.15,30-11-2025,Debit Card
TRN_00207,ACC_2661,Transfers,31219.14,11-11-2023,IMPS
TRN_00208,ACC_7154,Interest Payment,134959.69,30-06-2025,Net Banking
TRN_00209,ACC_2890,Deposits,106559.42,25-11-2024,IMPS
TRN_00210,ACC_3594,Transfers,47161.31,15-06-2025,Cash
TRN_00211,ACC_5845,Interest Payment,183352.32,07-10-2025,IMPS
TRN_00212,ACC_2348,Transfers,169346.79,28-07-2023,Cash
TRN_00213,ACC_3361,Deposits,40245.19,07-02-2025,IMPS
TRN_00214,ACC_4458,Withdrawals,55589.15,12-11-2025,Cash
TRN_00215,ACC_3375,Withdrawals,157377.12,16-02-2023,Net Banking
TRN_00216,ACC_1809,Interest Payment,125637.61,23-07-2023,Cash
TRN_00217,ACC_4089,Deposits,159418.74,04-12-2025,Debit Card
TRN_00218,ACC_7158,Transfers,48376.86,22-06-2024,Cash
TRN_00219,ACC_5067,Deposits,124226.19,17-02-2024,Cash
TRN_00220,ACC_2688,Withdrawals,47986.73,12-06-2023,IMPS
TRN_00221,ACC_4085,Transfers,192542.36,26-04-2025,UPI
TRN_00222,ACC_5424,Interest Payment,55549.94,22-04-2023,Debit Card
TRN_00223,ACC_5908,Deposits,127447.5,01-07-2023,Net Banking
TRN_00224,ACC_3454,Deposits,17919.84,13-08-2025,UPI
TRN_00225,ACC_5678,Interest Payment,21385.34,12-08-2024,UPI
TRN_00226,ACC_6192,Interest Payment,111042.78,24-04-2025,Cash
TRN_00227,ACC_953,Transfers,62270.11,27-07-2024,Debit Card
TRN_00228,ACC_662,Transfers,96319.23,18-12-2022,Net Banking
TRN_00229,ACC_4666,Deposits,33211.23,17-09-2024,Cash
TRN_00230,ACC_6733,Transfers,173809.87,06-02-2025,Debit Card
TRN_00231,ACC_760,Interest Payment,96067.42,16-10-2023,Cash
TRN_00232,ACC_2512,Interest Payment,182658.31,19-08-2025,Credit Card
TRN_00233,ACC_3117,Deposits,146913.49,18-12-2025,IMPS
TRN_00234,ACC_245,Transfers,115881.45,15-03-2024,Net Banking
TRN_00235,ACC_879,Interest Payment,124242.93,29-01-2025,Cash
TRN_00236,ACC_3033,Deposits,4116.09,25-07-2022,Net Banking
TRN_00237,ACC_504,Withdrawals,87607.28,23-10-2024,Credit Card
TRN_00238,ACC_7469,Deposits,74457.08,26-11-2025,Debit Card
TRN_00239,ACC_3023,Deposits,166051.58,10-04-2024,Net Banking
TRN_00240,ACC_2044,Transfers,104057.8,09-07-2023,Net Banking
TRN_00241,ACC_1950,Interest Payment,197977.15,11-11-2022,Cash
TRN_00242,ACC_399,Withdrawals,165781.05,26-12-2024,Debit Card
TRN_00243,ACC_3999,Withdrawals,44487.03,28-07-2025,Net Banking
TRN_00244,ACC_5540,Interest Payment,131418.65,19-12-2025,Debit Card
TRN_00245,ACC_6386,Withdrawals,4728.06,06-04-2024,UPI
TRN_00246,ACC_2243,Deposits,114735.78,25-11-2024,Debit Card
TRN_00247,ACC_4166,Interest Payment,111008.43,05-08-2025,Debit Card
TRN_00248,ACC_5212,Deposits,166037.89,03-09-2022,Debit Card
TRN_00249,ACC_7176,Interest Payment,134001.13,12-08-2024,Net Banking
TRN_00250,ACC_5991,Withdrawals,26021.67,06-08-2022,Credit Card
TRN_00251,ACC_7943,Deposits,110261.04,29-04-2024,Net Banking
TRN_00252,ACC_495,Withdrawals,54920.69,27-03-2024,UPI
TRN_00253,ACC_3819,Interest Payment,60056.25,08-09-2023,Cash
TRN_00254,ACC_5924,Interest Payment,55719.44,13-09-2022,UPI
TRN_00255,ACC_5892,Transfers,82956.67,25-11-2023,Net Banking
TRN_00256,ACC_2930,Deposits,19104.93,04-03-2023,UPI
TRN_00257,ACC_4781,Withdrawals,158343.51,10-09-2025,IMPS
TRN_00258,ACC_4151,Deposits,55312.86,13-06-2025,Net Banking
TRN_00259,ACC_1248,Withdrawals,62455.26,07-01-2025,Credit Card
TRN_00260,ACC_3147,Deposits,85732.24,21-03-2024,Debit Card
TRN_00261,ACC_7064,Withdrawals,50218.13,16-03-2025,Cash
TRN_00262,ACC_6364,Withdrawals,47276.87,23-06-2023,Cash
TRN_00263,ACC_2196,Transfers,142151.92,22-02-2025,UPI
TRN_00264,ACC_3802,Interest Payment,101130.81,14-10-2024,Net Banking
TRN_00265,ACC_7458,Interest Payment,9243.11,22-02-2024,Cash
TRN_00266,ACC_4959,Transfers,141080.86,17-08-2022,IMPS
TRN_00267,ACC_863,Withdrawals,108697.5,31-05-2025,UPI
TRN_00268,ACC_3145,Interest Payment,47024.69,24-02-2025,Credit Card
TRN_00269,ACC_1450,Withdrawals,38646.29,07-07-2024,UPI
TRN_00270,ACC_4874,Deposits,32320.54,11-08-2024,Net Banking
TRN_00271,ACC_6331,Deposits,108824.64,03-12-2023,Debit Card
TRN_00272,ACC_3976,Withdrawals,150398.68,30-07-2025,IMPS
TRN_00273,ACC_6813,Withdrawals,23841.8,26-07-2023,IMPS
TRN_00274,ACC_3948,Transfers,173371.09,26-06-2022,Credit Card
TRN_00275,ACC_2349,Deposits,31027.5,17-06-2024,UPI
TRN_00276,ACC_2080,Deposits,121004.39,25-08-2023,Cash
TRN_00277,ACC_1592,Interest Payment,162255.52,01-03-2025,Credit Card
TRN_00278,ACC_2455,Withdrawals,179962.41,13-07-2024,IMPS
TRN_00279,ACC_234,Transfers,19946.9,28-12-2024,Credit Card
TRN_00280,ACC_2814,Interest Payment,143840.46,28-08-2023,UPI
TRN_00281,ACC_1372,Withdrawals,129564.26,19-03-2024,UPI
TRN_00282,ACC_050,Deposits,34948.64,11-01-2025,Debit Card
TRN_00283,ACC_2234,Deposits,22528.19,16-05-2025,UPI
TRN_00284,ACC_4643,Interest Payment,9708.57,10-03-2023,IMPS
TRN_00285,ACC_758,Transfers,162589.94,06-10-2022,Credit Card
TRN_00286,ACC_3451,Transfers,141028.63,28-12-2023,IMPS
TRN_00287,ACC_4859,Withdrawals,181627.96,24-07-2024,UPI
TRN_00288,ACC_6445,Transfers,140612.99,17-02-2022,Cash
TRN_00289,ACC_7197,Withdrawals,18515.09,13-10-2024,Cash
TRN_00290,ACC_1512,Deposits,116558.75,19-02-2022,Debit Card
TRN_00291,ACC_2962,Withdrawals,97304.58,25-07-2023,Cash
TRN_00292,ACC_4990,Interest Payment,89044.95,30-07-2022,Credit Card
TRN_00293,ACC_6166,Withdrawals,199637.41,05-08-2022,Debit Card
TRN_00294,ACC_3055,Deposits,9138.27,20-06-2022,Net Banking
TRN_00295,ACC_7080,Withdrawals,15509.57,18-09-2025,Debit Card
TRN_00296,ACC_2763,Deposits,188162.9,15-03-2022,Debit Card
TRN_00297,ACC_4626,Deposits,36803.89,21-07-2022,Cash
TRN_00298,ACC_7829,Transfers,90381.59,14-04-2022,UPI
TRN_00299,ACC_7354,Interest Payment,43730.51,08-01-2023,Debit Card
TRN_00300,ACC_7630,Transfers,6484.37,24-09-2023,IMPS
TRN_00301,ACC_6296,Transfers,185083.4,19-02-2025,Net Banking
TRN_00302,ACC_404,Withdrawals,197933.17,24-04-2022,IMPS
TRN_00303,ACC_1296,Deposits,82070.51,23-11-2024,IMPS
TRN_00304,ACC_7181,Interest Payment,10760.02,10-12-2022,Credit Card
TRN_00305,ACC_4440,Interest Payment,179684.56,08-09-2022,Cash
TRN_00306,ACC_167,Transfers,133635.28,20-06-2025,Debit Card
TRN_00307,ACC_7551,Deposits,192103.17,19-02-2022,Credit Card
TRN_00308,ACC_3960,Withdrawals,77645.39,14-02-2022,Net Banking
TRN_00309,ACC_4814,Interest Payment,89798.1,22-01-2024,Cash
TRN_00310,ACC_690,Interest Payment,79696.89,23-12-2023,IMPS
TRN_00311,ACC_3140,Withdrawals,168230.72,31-12-2023,Cash
TRN_00312,ACC_4099,Transfers,175800.07,19-11-2023,Credit Card
TRN_00313,ACC_3784,Interest Payment,68258.88,21-01-2024,Credit Card
TRN_00314,ACC_6582,Interest Payment,30200.7,27-11-2022,UPI
TRN_00315,ACC_1887,Deposits,6460.82,28-03-2022,Credit Card
TRN_00316,ACC_609,Deposits,191675.56,09-09-2025,Cash
TRN_00317,ACC_652,Deposits,135438.18,01-01-2024,IMPS
TRN_00318,ACC_2324,Withdrawals,95482.46,05-10-2022,Credit Card
TRN_00319,ACC_1512,Withdrawals,188619.88,24-05-2022,UPI
TRN_00320,ACC_1781,Interest Payment,187178.76,14-06-2025,Credit Card
TRN_00321,ACC_1243,Deposits,79048.55,18-02-2022,Debit Card
TRN_00322,ACC_3942,Deposits,11949.38,06-12-2023,Credit Card
TRN_00323,ACC_3895,Withdrawals,64740.45,20-06-2022,Credit Card
TRN_00324,ACC_068,Interest Payment,163343.65,09-12-2024,Cash
TRN_00325,ACC_6710,Deposits,62602.24,14-11-2025,Cash
TRN_00326,ACC_6573,Interest Payment,176875.5,09-06-2024,Debit Card
TRN_00327,ACC_153,Deposits,194063.76,18-03-2022,IMPS
TRN_00328,ACC_920,Deposits,151490.3,12-06-2023,Credit Card
TRN_00329,ACC_3671,Interest Payment,23321.6,03-04-2025,Net Banking
TRN_00330,ACC_6023,Withdrawals,4759.6,12-04-2025,Debit Card
TRN_00331,ACC_2539,Withdrawals,39456.5,10-02-2023,Debit Card
TRN_00332,ACC_6194,Withdrawals,32403.51,29-12-2025,UPI
TRN_00333,ACC_2488,Withdrawals,99245.66,10-10-2022,IMPS
TRN_00334,ACC_7863,Deposits,16546.01,16-11-2025,IMPS
TRN_00335,ACC_5448,Deposits,92671.03,06-01-2022,Net Banking
TRN_00336,ACC_7272,Interest Payment,138629.41,15-11-2022,Credit Card
TRN_00337,ACC_6586,Deposits,67242.79,10-06-2025,Cash
TRN_00338,ACC_739,Transfers,124985.88,06-05-2024,IMPS
TRN_00339,ACC_633,Deposits,198272.45,25-10-2025,UPI
TRN_00340,ACC_249,Deposits,67176.2,29-04-2024,Credit Card
TRN_00341,ACC_1201,Withdrawals,80794.13,02-08-2024,UPI
TRN_00342,ACC_003,Interest Payment,156514.59,26-08-2022,Debit Card
TRN_00343,ACC_2341,Deposits,163926.55,04-06-2024,Credit Card
TRN_00344,ACC_6030,Transfers,193012.32,08-07-2025,IMPS
TRN_00345,ACC_2783,Deposits,77832.21,27-11-2025,UPI
TRN_00346,ACC_7840,Deposits,117271.82,09-01-2023,Cash
TRN_00347,ACC_6997,Interest Payment,197015.9,15-11-2023,Net Banking
TRN_00348,ACC_7894,Deposits,33470.64,22-09-2025,UPI
TRN_00349,ACC_417,Deposits,19964.82,13-06-2023,Credit Card
TRN_00350,ACC_6071,Transfers,83892.86,21-09-2023,Cash
TRN_00351,ACC_044,Withdrawals,36706.78,13-06-2023,Cash
TRN_00352,ACC_2110,Deposits,37546.52,01-11-2023,Net Banking
TRN_00353,ACC_1105,Transfers,19944.85,08-08-2025,Cash
TRN_00354,ACC_5830,Deposits,186946.59,03-09-2024,Net Banking
TRN_00355,ACC_5438,Deposits,142556.5,13-07-2025,Debit Card
TRN_00356,ACC_1752,Deposits,144827.33,22-06-2023,Cash
TRN_00357,ACC_5386,Transfers,148478.08,23-06-2023,Net Banking
TRN_00358,ACC_1677,Withdrawals,173030.52,01-09-2022,IMPS
TRN_00359,ACC_6927,Deposits,79714.13,01-06-2025,Credit Card
TRN_00360,ACC_122,Withdrawals,154712.91,15-07-2023,UPI
TRN_00361,ACC_1809,Transfers,164946.07,20-04-2023,Net Banking
TRN_00362,ACC_699,Withdrawals,189251.82,06-12-2025,IMPS
TRN_00363,ACC_2930,Transfers,143263.05,20-12-2024,Cash
TRN_00364,ACC_7294,Transfers,171439.48,23-01-2022,UPI
TRN_00365,ACC_5645,Interest Payment,146210.56,30-05-2024,Debit Card
TRN_00366,ACC_2899,Transfers,34798.29,21-03-2023,Debit Card
TRN_00367,ACC_290,Deposits,132909.54,03-11-2023,UPI
TRN_00368,ACC_3009,Transfers,91513.56,27-03-2024,UPI
TRN_00369,ACC_1551,Withdrawals,158747.6,11-01-2024,Credit Card
TRN_00370,ACC_4680,Transfers,74157.85,25-10-2023,Cash
TRN_00371,ACC_5298,Interest Payment,195945.38,04-05-2025,Debit Card
TRN_00372,ACC_5716,Interest Payment,169782.59,01-11-2025,Credit Card
TRN_00373,ACC_2579,Transfers,141066.9,13-03-2024,Net Banking
TRN_00374,ACC_6078,Interest Payment,195918.54,09-10-2022,Debit Card
TRN_00375,ACC_7787,Deposits,119459.34,06-01-2025,IMPS
TRN_00376,ACC_4813,Withdrawals,111763.93,14-08-2023,Cash
TRN_00377,ACC_402,Deposits,126745.73,27-12-2023,Cash
TRN_00378,ACC_4481,Deposits,34579.12,11-11-2025,IMPS
