complaint_id,customer_id,complaint_type,complaint_date,status
COMP_051,CID_3204,Card Issue,45475,Resolved
COMP_052,CID_2881,KYC/Documentation,45056,Closed
COMP_053,CID_878,Transaction Failed,44296,Closed
COMP_054,CID_4268,Card Issue,45332,Open
COMP_055,CID_2099,Fraud/Unauthorized,45983,Resolved
COMP_056,CID_3543,Card Issue,45880,Open
COMP_057,CID_4197,Cash Deposit,43783,Open
COMP_058,CID_1129,Card Issue,45467,Pending
COMP_059,CID_3731,Cash Deposit,44741,In Progress
COMP_060,CID_2927,Account Statement,45661,
COMP_061,CID_3191,Card Issue,46072,Pending
COMP_062,CID_3131,,45847,Open
COMP_063,CID_1358,Loan Service,45076,In Progress
COMP_064,CID_994,Charges/Fees,45387,In Progress
COMP_065,CID_3188,Card Issue,44847,Closed
COMP_066,CID_1784,Loan Service,45021,Resolved
COMP_067,CID_1553,Transaction Failed,46079,Closed
COMP_068,CID_2192,Card Issue,45081,Escalated
COMP_069,CID_3176,ATM Issue,45677,Escalated
COMP_070,CID_1456,Account Statement,44876,
COMP_071,CID_4440,Charges/Fees,44826,In Progress
COMP_072,CID_1482,,44253,Closed
COMP_073,CID_837,Cheque Clearance,44499,Pending
COMP_074,CID_3160,Transaction Failed,44554,Closed
COMP_075,CID_2237,Transaction Failed,45627,Resolved
COMP_076,CID_4815,KYC/Documentation,46064,Open
COMP_077,CID_1309,Fraud/Unauthorized,44297,Pending
COMP_078,CID_3883,Charges/Fees,45916,Resolved
COMP_079,CID_477,Account Statement,44749,Resolved
COMP_080,CID_2861,Card Issue,44261,Resolved
COMP_081,CID_4466,,45756,Pending
COMP_082,CID_2044,Charges/Fees,45804,
COMP_083,CID_2935,Cheque Clearance,45616,Resolved
COMP_084,CID_2907,Cash Deposit,45711,Pending
COMP_085,CID_1635,ATM Issue,46059,In Progress
COMP_086,CID_4849,Fraud/Unauthorized,44468,Resolved
COMP_087,CID_2179,Loan Service,45581,In Progress
COMP_088,CID_3175,Account Statement,45920,Open
COMP_089,CID_835,Cash Deposit,45446,Closed
COMP_090,CID_3753,Charges/Fees,45687,Resolved
COMP_091,CID_4987,ATM Issue,45113,Escalated
COMP_092,CID_358,Card Issue,45791,In Progress
COMP_093,CID_4347,Charges/Fees,46024,Resolved
COMP_094,CID_1270,Cheque Clearance,45938,In Progress
COMP_095,CID_3769,Staff Behavior,45028,Escalated
COMP_096,CID_4223,Loan Service,44210,Open
COMP_097,CID_3406,Cash Deposit,44980,Resolved
COMP_098,CID_3190,KYC/Documentation,45599,Open
COMP_099,CID_2522,Fraud/Unauthorized,45535,In Progress
COMP_100,CID_3958,KYC/Documentation,44956,Closed
COMP_101,CID_3873,Online Banking,45838,Resolved
COMP_102,CID_1230,Loan Service,43931,Escalated
COMP_103,CID_310,Charges/Fees,43370,Closed
COMP_104,CID_005,Online Banking,46076,Open
COMP_105,CID_860,Cheque Clearance,45149,Closed
COMP_106,CID_4527,Online Banking,44856,In Progress
COMP_107,CID_1503,Transaction Failed,44531,Escalated
COMP_108,CID_2258,Cheque Clearance,45709,Closed
COMP_109,CID_4320,Cheque Clearance,45336,Closed
COMP_110,CID_4897,Card Issue,45830,Resolved
COMP_111,CID_2385,Cheque Clearance,45737,Open
COMP_112,CID_535,ATM Issue,45939,Open
COMP_113,CID_3585,Loan Service,45997,Escalated
COMP_114,CID_3623,Cheque Clearance,44176,In Progress
COMP_115,CID_3806,Cheque Clearance,45724,Open
COMP_116,CID_4127,Card Issue,45941,
COMP_117,CID_3961,Cheque Clearance,44891,Resolved
COMP_118,CID_4293,Transaction Failed,46025,Escalated
COMP_119,CID_073,KYC/Documentation,45879,Closed
COMP_120,CID_634,Online Banking,45667,Resolved
COMP_121,CID_2664,Account Statement,45903,Open
COMP_122,CID_4998,Charges/Fees,46049,In Progress
COMP_123,CID_3763,Card Issue,43340,Resolved
COMP_124,CID_1328,Transaction Failed,45961,In Progress
COMP_125,CID_2711,Staff Behavior,44334,In Progress
COMP_126,CID_3067,ATM Issue,45140,Pending
COMP_127,CID_3170,Online Banking,45499,
COMP_128,CID_2912,Card Issue,45203,In Progress
COMP_129,CID_3191,Card Issue,45553,In Progress
COMP_130,CID_2734,ATM Issue,45599,Open
COMP_131,CID_1978,ATM Issue,45235,Resolved
COMP_132,CID_2474,KYC/Documentation,45784,Resolved
COMP_133,CID_2861,Card Issue,44261,Resolved
COMP_134,CID_2402,ATM Issue,45165,Closed
COMP_135,CID_1055,Account Statement,44802,Open
COMP_136,CID_2533,Fraud/Unauthorized,44998,Resolved
COMP_137,CID_3355,Charges/Fees,45994,Closed
COMP_138,CID_4348,Cash Deposit,45694,Pending
COMP_139,CID_515,KYC/Documentation,45493,Closed
COMP_140,CID_2282,Cheque Clearance,45990,Open
COMP_141,CID_4987,ATM Issue,45113,Escalated
COMP_142,CID_1913,Cheque Clearance,44998,Resolved
COMP_143,CID_3909,ATM Issue,45679,Resolved
COMP_144,CID_1398,Staff Behavior,44409,In Progress
COMP_145,CID_4291,ATM Issue,45774,Escalated
COMP_146,CID_4655,Card Issue,45658,Open
COMP_147,CID_489,Cheque Clearance,43921,In Progress
COMP_148,CID_4100,KYC/Documentation,44379,Closed
COMP_149,CID_547,Card Issue,45889,Open
COMP_150,CID_1820,Account Statement,44523,
COMP_151,CID_3659,Online Banking,45605,Closed
COMP_152,CID_936,Online Banking,43709,Closed
COMP_153,CID_1901,Transaction Failed,44885,Escalated
COMP_154,CID_477,Account Statement,44749,Resolved
COMP_155,CID_3349,Online Banking,45303,Closed
COMP_156,CID_2325,Fraud/Unauthorized,45075,In Progress
COMP_157,CID_380,Fraud/Unauthorized,45937,Open
COMP_158,CID_3393,Online Banking,43611,Open
COMP_159,CID_043,Account Statement,46065,Open
COMP_160,CID_3151,Staff Behavior,45874,Closed
COMP_161,CID_3003,Card Issue,45983,
COMP_162,CID_1247,Card Issue,45822,Open
COMP_163,CID_3189,ATM Issue,45895,
COMP_164,CID_2509,Card Issue,45709,
COMP_165,CID_4655,Card Issue,45658,Open
COMP_166,CID_3366,Card Issue,45875,Closed
COMP_167,CID_689,KYC/Documentation,45540,Resolved
COMP_168,CID_3891,ATM Issue,45994,Open
COMP_169,CID_4688,Cash Deposit,45346,Resolved
COMP_170,CID_1411,Fraud/Unauthorized,45979,Resolved
COMP_171,CID_4854,Card Issue,46054,Pending
COMP_172,CID_2491,Cheque Clearance,45765,Open
COMP_173,CID_3672,Account Statement,45890,Closed
COMP_174,CID_3975,Online Banking,45271,Open
COMP_175,CID_401,Cash Deposit,45830,Open
COMP_176,CID_3603,Online Banking,44805,Pending
COMP_177,CID_3749,Online Banking,44765,Closed
COMP_178,CID_4874,Staff Behavior,45667,Closed
COMP_179,CID_3752,Staff Behavior,45248,Closed
COMP_180,CID_3157,Transaction Failed,43907,Closed
COMP_181,CID_4302,Staff Behavior,43637,Pending
COMP_182,CID_4704,Charges/Fees,45534,Resolved
COMP_183,CID_1278,Cheque Clearance,46049,Resolved
COMP_184,CID_862,KYC/Documentation,45931,Escalated
COMP_185,CID_3434,Card Issue,45918,Open
COMP_186,CID_2527,Staff Behavior,45636,In Progress
COMP_187,CID_344,,46029,Pending
COMP_188,CID_4504,Cheque Clearance,45757,Resolved
COMP_189,CID_1385,Card Issue,44972,Resolved
COMP_190,CID_2664,Account Statement,45903,Open
COMP_191,CID_1200,Cash Deposit,45158,Closed
COMP_192,CID_833,Online Banking,45384,Closed
COMP_193,CID_1100,Cheque Clearance,44619,Resolved
COMP_194,CID_2573,Transaction Failed,45597,
COMP_195,CID_4725,Charges/Fees,44176,Resolved
COMP_196,CID_1614,KYC/Documentation,44411,Resolved
COMP_197,CID_703,Online Banking,44586,Resolved
COMP_198,CID_535,ATM Issue,45939,Open
COMP_199,CID_2583,Cash Deposit,45454,Closed
COMP_200,CID_158,Account Statement,46040,Resolved
COMP_201,CID_520,Cash Deposit,46021,In Progress
COMP_202,CID_4892,Transaction Failed,45285,Closed
COMP_203,CID_3606,Account Statement,45146,Escalated
COMP_204,CID_1531,Transaction Failed,44269,In Progress
COMP_205,CID_1399,Cheque Clearance,45650,In Progress
COMP_206,CID_2930,Loan Service,45640,Resolved
COMP_207,CID_1323,Account Statement,45117,Escalated
COMP_208,CID_077,Staff Behavior,46046,Closed
COMP_209,CID_1833,Fraud/Unauthorized,45328,
COMP_210,CID_4310,Transaction Failed,45818,Closed
COMP_211,CID_835,Cash Deposit,45446,Closed
COMP_212,CID_220,Account Statement,45191,Closed
COMP_213,CID_498,Loan Service,45871,Closed
COMP_214,CID_412,Transaction Failed,45981,Pending
COMP_215,CID_4167,Online Banking,45878,Resolved
COMP_216,CID_460,Card Issue,45695,Resolved
COMP_217,CID_618,Cheque Clearance,46050,Closed
COMP_218,CID_1301,Online Banking,45001,Closed
COMP_219,CID_1868,Staff Behavior,46027,In Progress
COMP_220,CID_836,,44572,Escalated
COMP_221,CID_2801,Transaction Failed,45937,Resolved
COMP_222,CID_4783,Staff Behavior,46085,Resolved
COMP_223,CID_4504,Cheque Clearance,45757,Resolved
COMP_224,CID_3841,Charges/Fees,45737,Resolved
COMP_225,CID_1583,Cash Deposit,43789,Escalated
COMP_226,CID_4815,Online Banking,46006,Open
COMP_227,CID_3032,Fraud/Unauthorized,45798,Resolved
COMP_228,CID_1325,Loan Service,45992,
COMP_229,CID_4210,Transaction Failed,44216,Resolved
COMP_230,CID_3355,,46020,Closed
COMP_231,CID_3805,Loan Service,44756,Open
COMP_232,CID_3347,Cheque Clearance,45524,Pending
COMP_233,CID_4070,Transaction Failed,45853,Pending
COMP_234,CID_1176,KYC/Documentation,45189,Pending
COMP_235,CID_3014,Online Banking,46040,In Progress
COMP_236,CID_595,Staff Behavior,45934,Resolved
COMP_237,CID_2600,Loan Service,45743,Open
COMP_238,CID_2575,Account Statement,43810,Open
COMP_239,CID_3014,Online Banking,46040,In Progress
COMP_240,CID_4320,KYC/Documentation,45689,Resolved
COMP_241,CID_1230,KYC/Documentation,43840,Resolved
COMP_242,CID_358,Card Issue,45791,In Progress
COMP_243,CID_2529,Card Issue,46052,Closed
COMP_244,CID_1911,Card Issue,46080,Escalated
COMP_245,CID_4783,Staff Behavior,46085,Resolved
COMP_246,CID_3942,Online Banking,43954,Resolved
COMP_247,CID_346,ATM Issue,43458,In Progress
COMP_248,CID_2791,Charges/Fees,45330,In Progress
COMP_249,CID_3079,Loan Service,45269,Resolved
COMP_250,CID_310,Charges/Fees,43370,Closed
COMP_251,CID_2380,KYC/Documentation,45236,Open
COMP_252,CID_1772,Account Statement,45785,Resolved
COMP_253,CID_3443,Account Statement,45811,Closed
COMP_254,CID_2245,Loan Service,44589,Resolved
COMP_255,CID_107,Staff Behavior,45918,
COMP_256,CID_043,ATM Issue,45607,Open
COMP_257,CID_3848,Cash Deposit,45309,Escalated
COMP_258,CID_547,Card Issue,45889,Open
COMP_259,CID_1242,ATM Issue,45828,Resolved
COMP_260,CID_1203,Account Statement,43583,In Progress
COMP_261,CID_4614,ATM Issue,45333,Closed
COMP_262,CID_473,,45830,Closed
COMP_263,CID_4117,,45922,Resolved
COMP_264,CID_3580,Fraud/Unauthorized,44663,Escalated
COMP_265,CID_903,,44010,In Progress
COMP_266,CID_2614,,45560,Closed
COMP_267,CID_396,Transaction Failed,45774,Resolved
COMP_268,CID_331,Charges/Fees,45468,In Progress
COMP_269,CID_901,Online Banking,45148,Closed
COMP_270,CID_4340,Staff Behavior,46073,Closed
COMP_271,CID_3344,Account Statement,45251,Escalated
COMP_272,CID_752,Charges/Fees,46083,In Progress
COMP_273,CID_288,Online Banking,45844,Resolved
COMP_274,CID_3839,Account Statement,45917,Resolved
COMP_275,CID_1387,ATM Issue,44585,Resolved
COMP_276,CID_2010,Cheque Clearance,45524,Resolved
COMP_277,CID_043,ATM Issue,45607,Open
COMP_278,CID_4746,Account Statement,45968,Pending
COMP_279,CID_2831,KYC/Documentation,45929,Open
COMP_280,CID_4867,Cheque Clearance,45323,Pending
COMP_281,CID_2099,Fraud/Unauthorized,45983,Resolved
COMP_282,CID_2257,,45996,Closed
COMP_283,CID_1278,Cheque Clearance,46049,Resolved
COMP_284,CID_2633,Transaction Failed,45575,Resolved
COMP_285,CID_3663,Transaction Failed,45871,In Progress
COMP_286,CID_3119,,43904,Open
COMP_287,CID_1323,Account Statement,45117,Escalated
COMP_288,CID_2146,Account Statement,45689,Pending
COMP_289,CID_3281,Transaction Failed,44662,Closed
COMP_290,CID_898,Staff Behavior,45806,In Progress
COMP_291,CID_1806,Cash Deposit,44890,Open
COMP_292,CID_380,Fraud/Unauthorized,45937,Open
COMP_293,CID_4897,Online Banking,44529,Closed
COMP_294,CID_005,Online Banking,46076,Open
COMP_295,CID_3379,Staff Behavior,45883,Open
COMP_296,CID_1384,Online Banking,45923,Closed
COMP_297,CID_4185,KYC/Documentation,45632,Closed
COMP_298,CID_1079,Transaction Failed,44365,Closed
COMP_299,CID_1143,Account Statement,44353,Open
COMP_300,CID_1581,Cash Deposit,45573,Closed
COMP_301,CID_3491,Cheque Clearance,45579,In Progress
COMP_302,CID_4678,,45027,In Progress
COMP_303,CID_2337,Account Statement,44344,Open
COMP_304,CID_1383,Online Banking,45808,In Progress
COMP_305,CID_4792,Online Banking,45994,Resolved
COMP_306,CID_2819,Transaction Failed,44199,Closed
COMP_307,CID_2637,Card Issue,45657,Open
COMP_308,CID_2222,Staff Behavior,45423,Open
COMP_309,CID_1001,Transaction Failed,44996,Pending
COMP_310,CID_2278,Cash Deposit,45730,In Progress
COMP_311,CID_1576,Charges/Fees,46069,Closed
COMP_312,CID_598,Loan Service,44931,Resolved
COMP_313,CID_2637,Card Issue,45657,Open
COMP_314,CID_944,KYC/Documentation,45970,Escalated
COMP_315,CID_2361,Account Statement,45584,In Progress
COMP_316,CID_1239,KYC/Documentation,44861,In Progress
COMP_317,CID_732,,44305,Closed
COMP_318,CID_4685,Account Statement,44902,Open
COMP_319,CID_1318,KYC/Documentation,45897,In Progress
COMP_320,CID_461,KYC/Documentation,45943,Resolved
COMP_321,CID_186,ATM Issue,45726,Open
COMP_322,CID_4721,Card Issue,45907,Closed
COMP_323,CID_3191,Card Issue,46072,Pending
COMP_324,CID_1498,Online Banking,45410,Closed
COMP_325,CID_2535,Fraud/Unauthorized,44543,Pending
COMP_326,CID_4030,ATM Issue,43774,Resolved
COMP_327,CID_2289,Transaction Failed,44570,Open
COMP_328,CID_1817,Loan Service,45918,Closed
COMP_329,CID_412,Account Statement,46036,Pending
COMP_330,CID_1252,Loan Service,45727,Escalated
COMP_331,CID_1638,Loan Service,43844,In Progress
COMP_332,CID_3047,Cash Deposit,45776,Pending
COMP_333,CID_422,Charges/Fees,46037,In Progress
COMP_334,CID_678,Transaction Failed,46067,Resolved
COMP_335,CID_4307,KYC/Documentation,45956,Open
COMP_336,CID_4845,ATM Issue,45603,Resolved
COMP_337,CID_4070,Transaction Failed,45853,Pending
COMP_338,CID_4250,Loan Service,45784,In Progress
COMP_339,CID_2640,Account Statement,44115,Resolved
COMP_340,CID_3074,Charges/Fees,46090,
COMP_341,CID_2551,KYC/Documentation,43491,Open
COMP_342,CID_3215,Account Statement,45382,Closed
COMP_343,CID_2932,Fraud/Unauthorized,44906,Open
COMP_344,CID_3304,Loan Service,43507,In Progress
COMP_345,CID_2499,Online Banking,45581,Pending
COMP_346,CID_3212,Account Statement,45437,Closed
COMP_347,CID_3196,KYC/Documentation,45243,Escalated
COMP_348,CID_3155,Transaction Failed,45512,Resolved
COMP_349,CID_1924,Cash Deposit,44307,Resolved
COMP_350,CID_1000,Cheque Clearance,44045,Escalated
COMP_351,CID_079,Loan Service,46034,Closed
COMP_352,CID_2503,ATM Issue,43832,Open
COMP_353,CID_828,Cash Deposit,45371,Open
COMP_354,CID_2587,Account Statement,45139,In Progress
COMP_355,CID_978,Account Statement,44219,In Progress
COMP_356,CID_837,Cheque Clearance,44983,In Progress
COMP_357,CID_1279,Cheque Clearance,45710,Escalated
COMP_358,CID_4633,Staff Behavior,44673,Closed
COMP_359,CID_991,Loan Service,44615,In Progress
COMP_360,CID_1399,Cheque Clearance,45650,In Progress
COMP_361,CID_116,Account Statement,45362,In Progress
COMP_362,CID_1318,KYC/Documentation,45897,In Progress
COMP_363,CID_4677,Fraud/Unauthorized,45416,Resolved
COMP_364,CID_3375,Staff Behavior,45857,In Progress
COMP_365,CID_1172,Staff Behavior,43403,Closed
COMP_366,CID_2385,Cheque Clearance,45737,Open
COMP_367,CID_2587,ATM Issue,44576,Resolved
COMP_368,CID_2216,ATM Issue,45351,Resolved
COMP_369,CID_2415,Account Statement,43459,Escalated
COMP_370,CID_3120,Cash Deposit,45575,Closed
COMP_371,CID_2430,Cash Deposit,46023,Resolved
COMP_372,CID_4119,KYC/Documentation,44863,Closed
COMP_373,CID_2863,Card Issue,45879,Closed
COMP_374,CID_736,ATM Issue,45845,
COMP_375,CID_2827,Staff Behavior,43914,Open
COMP_376,CID_773,Account Statement,44572,Open
COMP_377,CID_4554,Card Issue,45517,Closed
COMP_378,CID_1423,Fraud/Unauthorized,45919,In Progress
COMP_379,CID_2082,,44340,Closed
COMP_380,CID_3303,Fraud/Unauthorized,45449,Closed
COMP_381,CID_1214,Charges/Fees,45913,Escalated
COMP_382,CID_3651,Charges/Fees,46025,Closed
COMP_383,CID_1784,Account Statement,44547,
COMP_384,CID_1891,,45184,Resolved
COMP_385,CID_4022,Cash Deposit,46051,Pending
COMP_386,CID_2188,Account Statement,45337,Escalated
COMP_387,CID_3246,ATM Issue,44687,Closed
COMP_388,CID_021,Staff Behavior,45476,Closed
COMP_389,CID_367,Online Banking,44799,Resolved
COMP_390,CID_1328,KYC/Documentation,45751,Resolved
COMP_391,CID_2619,Account Statement,45108,Closed
COMP_392,CID_2899,Loan Service,43896,Pending
COMP_393,CID_412,Account Statement,46036,Pending
COMP_394,CID_418,Fraud/Unauthorized,45954,Escalated
COMP_395,CID_2096,Transaction Failed,45324,Escalated
COMP_396,CID_058,Charges/Fees,45821,Closed
COMP_397,CID_1151,Staff Behavior,45340,Resolved
COMP_398,CID_350,,45972,In Progress
COMP_399,CID_1495,Cash Deposit,46017,Open
COMP_400,CID_619,Card Issue,45599,Closed
COMP_401,CID_522,Staff Behavior,46024,In Progress
COMP_402,CID_3203,Charges/Fees,46075,Open
COMP_403,CID_958,Cash Deposit,45031,Open
COMP_404,CID_643,Fraud/Unauthorized,46082,Pending
COMP_405,CID_044,Online Banking,45776,In Progress
COMP_406,CID_3171,KYC/Documentation,45425,In Progress
COMP_407,CID_2955,Cash Deposit,45646,Resolved
COMP_408,CID_471,Fraud/Unauthorized,45532,In Progress
COMP_409,CID_3805,Transaction Failed,45022,Closed
COMP_410,CID_2898,Loan Service,46024,Open
COMP_411,CID_3413,Charges/Fees,46021,In Progress
COMP_412,CID_2868,KYC/Documentation,43808,Open
COMP_413,CID_4575,Staff Behavior,46090,Resolved
COMP_414,CID_1346,Loan Service,45271,Pending
COMP_415,CID_4006,Transaction Failed,46004,Resolved
COMP_416,CID_427,KYC/Documentation,45693,In Progress
COMP_417,CID_3204,Card Issue,45475,Resolved
COMP_418,CID_3656,Card Issue,45458,Open
COMP_419,CID_1539,Online Banking,43897,In Progress
COMP_420,CID_860,Cheque Clearance,45149,Closed
COMP_421,CID_1564,Charges/Fees,44851,In Progress
COMP_422,CID_2853,Card Issue,46044,Resolved
COMP_423,CID_3951,Cash Deposit,45257,Resolved
COMP_424,CID_3903,Staff Behavior,44455,Pending
COMP_425,CID_2321,Transaction Failed,45565,Open
COMP_426,CID_2916,KYC/Documentation,45740,Resolved
COMP_427,CID_536,Cash Deposit,44799,
COMP_428,CID_3807,Online Banking,45036,Open
COMP_429,CID_1929,Online Banking,45489,
COMP_430,CID_186,Online Banking,45919,Resolved
COMP_431,CID_1531,Transaction Failed,44269,In Progress
COMP_432,CID_3143,Card Issue,44305,In Progress
COMP_433,CID_2487,Online Banking,43512,Pending
COMP_434,CID_4608,Fraud/Unauthorized,46000,In Progress
COMP_435,CID_267,Fraud/Unauthorized,45405,In Progress
COMP_436,CID_790,Charges/Fees,44970,Closed
COMP_437,CID_2216,ATM Issue,45351,Resolved
COMP_438,CID_689,KYC/Documentation,45540,Resolved
COMP_439,CID_1187,Cheque Clearance,46081,Resolved
COMP_440,CID_2335,Cash Deposit,45950,Resolved
COMP_441,CID_2923,Transaction Failed,44352,In Progress
COMP_442,CID_3090,Fraud/Unauthorized,45867,Escalated
COMP_443,CID_3893,Cheque Clearance,45626,In Progress
COMP_444,CID_1496,Cash Deposit,44412,Closed
COMP_445,CID_1919,Card Issue,43816,Resolved
COMP_446,CID_3355,Charges/Fees,45994,Closed
COMP_447,CID_2574,Online Banking,44831,Closed
COMP_448,CID_4818,Transaction Failed,45536,Resolved
COMP_449,CID_3622,Loan Service,44564,Open
COMP_450,CID_1435,KYC/Documentation,45918,Resolved
COMP_451,CID_4874,Staff Behavior,45667,Closed
COMP_452,CID_4196,KYC/Documentation,45954,Closed
COMP_453,CID_2651,,45447,Open
COMP_454,CID_4786,Cheque Clearance,45802,Closed
COMP_455,CID_1901,ATM Issue,45157,Resolved
COMP_456,CID_4730,KYC/Documentation,43908,Resolved
COMP_457,CID_029,Account Statement,45661,Pending
COMP_458,CID_4922,Cheque Clearance,45527,Closed
COMP_459,CID_1679,Charges/Fees,45347,Closed
COMP_460,CID_1938,Fraud/Unauthorized,45350,Resolved
COMP_461,CID_1463,,44802,Open
COMP_462,CID_2543,Account Statement,45079,Resolved
COMP_463,CID_4439,Card Issue,44704,In Progress
COMP_464,CID_3567,Online Banking,45871,In Progress
COMP_465,CID_4745,Account Statement,45215,In Progress
COMP_466,CID_450,ATM Issue,45844,Closed
COMP_467,CID_648,Charges/Fees,43722,In Progress
COMP_468,CID_4000,Staff Behavior,45772,Resolved
COMP_469,CID_461,Online Banking,45919,Closed
COMP_470,CID_1738,Online Banking,45612,In Progress
COMP_471,CID_1989,Account Statement,45472,Resolved
COMP_472,CID_1504,Charges/Fees,46031,In Progress
COMP_473,CID_1236,Online Banking,43757,Open
COMP_474,CID_836,Charges/Fees,45619,Escalated
COMP_475,CID_4822,Online Banking,43637,Open
COMP_476,CID_535,Cash Deposit,46052,Resolved
COMP_477,CID_2062,Card Issue,45432,In Progress
COMP_478,CID_981,Cheque Clearance,43529,In Progress
COMP_479,CID_1046,Fraud/Unauthorized,46004,Closed
COMP_480,CID_1346,Loan Service,45271,Pending
COMP_481,CID_4299,Account Statement,45781,Resolved
COMP_482,CID_3960,Cheque Clearance,45103,Pending
COMP_483,CID_1566,Charges/Fees,45858,Escalated
COMP_484,CID_2207,Loan Service,45241,Escalated
COMP_485,CID_1252,Loan Service,45727,Escalated
COMP_486,CID_2585,ATM Issue,45856,Resolved
COMP_487,CID_1665,Account Statement,45696,Closed
COMP_488,CID_2930,Loan Service,45209,Pending
COMP_489,CID_1242,ATM Issue,45828,Resolved
COMP_490,CID_4815,Online Banking,46006,Open
COMP_491,CID_3241,Fraud/Unauthorized,45882,Pending
COMP_492,CID_2361,Account Statement,45418,Closed
COMP_493,CID_776,Online Banking,44113,Resolved
COMP_494,CID_4918,Charges/Fees,44642,Closed
COMP_495,CID_2567,Loan Service,45639,Closed
COMP_496,CID_074,ATM Issue,43837,Pending
COMP_497,CID_2103,Fraud/Unauthorized,45681,Resolved
COMP_498,CID_1700,Transaction Failed,45789,Open
COMP_499,CID_511,,45423,Pending
COMP_500,CID_2701,Cash Deposit,46086,In Progress
COMP_501,CID_1716,Account Statement,45347,Resolved
COMP_502,CID_3596,Cheque Clearance,44540,Pending
COMP_503,CID_1309,Fraud/Unauthorized,44297,Pending
COMP_504,CID_3426,Cash Deposit,45904,Escalated
COMP_505,CID_2618,Account Statement,45548,Pending
COMP_506,CID_2935,KYC/Documentation,45711,Closed
COMP_507,CID_4583,KYC/Documentation,46080,Resolved
COMP_508,CID_2105,Fraud/Unauthorized,45565,Pending
COMP_509,CID_3175,Charges/Fees,45679,Resolved
COMP_510,CID_1418,Cash Deposit,44915,Open
COMP_511,CID_2854,Online Banking,45639,Closed
COMP_512,CID_1968,Online Banking,45787,Closed
COMP_513,CID_1230,Loan Service,43931,Escalated
COMP_514,CID_4839,Cash Deposit,44261,Escalated
COMP_515,CID_3219,Cash Deposit,46003,In Progress
COMP_516,CID_4945,Account Statement,43544,Open
COMP_517,CID_2476,Fraud/Unauthorized,45366,Open
COMP_518,CID_100,Transaction Failed,46061,
COMP_519,CID_2075,ATM Issue,46049,Escalated
COMP_520,CID_3248,Cash Deposit,46058,Open
COMP_521,CID_1926,Cash Deposit,44762,Closed
COMP_522,CID_3892,Charges/Fees,45721,Closed
COMP_523,CID_2943,Transaction Failed,45350,Resolved
COMP_524,CID_3393,Online Banking,43611,Open
COMP_525,CID_1764,,45534,Resolved
COMP_526,CID_982,Fraud/Unauthorized,44870,Escalated
COMP_527,CID_3986,Loan Service,45574,Resolved
COMP_528,CID_3902,Cheque Clearance,44919,Pending
COMP_529,CID_1470,Cheque Clearance,44734,Closed
